year,month,event
2024,3,三原清美氏、公益財団法人福岡県スポーツ協会功労者受章
2022,1,江口和規氏、久留米市野球連盟副会長就任
2022,1,稗島　寛氏　名誉顧問就任
2022,1,古賀正弘氏、名誉会長就任
2022,1,吉田　茂氏、六代会長就任
2021,11,浅川秀視氏、令和３年度久留米市ふるさと市民賞受章
2021,11,中村敏治氏、令和３年秋の叙勲：旭日双光章受章
2021,8,２１日・２２日第４１回九州ブロック大会軟式野球競技開催　久留米市野球場　小郡市野球場
2021,8,全日本軟式野球九州連合会理事会開催・ホテル、ニュープラザ
2021,6,一般社団法人福岡県軟式野球連盟として法人化
2021,3,古賀正治氏、（公財）福岡県体育協会功労者受賞
2021,1,三原清美氏　全日本軟式野球福岡県連盟女性初理事就任
2013,,日韓交流軟式野球大会開催　　　　　於：久留米市
2013,,片山芳幸氏、（財）福岡県体育協会功労者受賞
2012,,吉田耕造氏、（財）福岡県体育協会功労者受賞
2012,,野中敏則氏、（財）福岡県体育協会功労者受賞
2012,,前川昭彦氏、（財）福岡県体育協会功労者受賞
2012,,中村敏治氏、（公財）全日本軟式野球連盟常務理事就任
2012,,石原廣士氏、全日本軟式野球九州連合会・福岡県連盟就任
2011,,恵良二三男氏、（財）福岡県体育協会功労者受賞
2011,,松延　恒氏、（財）福岡県体育協会功労者受賞
2011,,野村天朗氏、（財）福岡県体育協会功労者受賞
2010,,鎌田澄夫氏、中村敏治氏(財)福岡県体育協会功労者、受賞
2010,,稗島　寛副会長、（財）全日本軟式野球連盟功労賞受章
2010,,春日支部加入
2010,,春本　務氏、（財）福岡県体育協会功労者受賞
2010,,大星嘉文氏、（財）福岡県体育協会功労者受賞
2010,,森本　浩氏、（財）福岡県体育協会功労者受賞
2009,,糟谷支部加入・東八女支部解散
2009,,川原俊治氏、(財)福岡県体育協会功労者受賞
2009,,鎌田澄夫氏、（財）福岡県体育協会功労者受賞
2008,,野村天朗氏、全日本軟式野球九州連合会審判長就任
2008,,中村敏治理事長、全日本軟式野球九州連合会理事長就任
2008,4,柴田春雄会長、『西日本スポーツ』【功労者】受章祝賀会挙行
2008,,花田三郎氏、（財）福岡県体育協会功労者受賞
2008,,大田国男氏、（財）福岡県体育協会功労者受賞
2008,,村下和之氏、（財）福岡県体育協会功労者受賞
2008,,田中　均氏、（財）福岡県体育協会功労者受賞
2008,,柴田春雄会長、平成１９年度第５３回『西日本スポーツ賞』【功労賞】受章
2007,,久留米市野球連盟（久留米支部）文部科学大臣『生涯スポーツ優良団体』受賞
2007,,創刊１３０周年記念、西日本新聞社杯争奪福岡県学童軟式野球チャンピオンシップ・２００７開催
2007,,第２９回西日本軟式野球大会２部開催　　　　　　　久留米
2007,,中村敏治氏、（財）福岡県体育協会功労者受賞
2007,,中村敏治氏、（財）全日本軟式野球連盟理事就任
2007,,西野國昭氏、（財）福岡県体育協会功労者受賞
2006,,永野直義氏、（財）全日本軟式野球連盟功労賞受章
2006,,川原俊治氏、全日本軟式野球九州連合会事務局長就任
2006,,森　冨士光氏、福岡県体育協会功労者、受章
2006,,山﨑雅通氏、（財）福岡県体育協会功労者受賞
2005,,全日本軟式野球福岡県連盟６０周年記念式典開催
2005,,第２５回九州ブロック軟式野球競技開催　　　　　　久留米
2005,,本岡大作氏、（財）福岡県体育協会功労者受賞
2003,,（財）福岡県体育協会表彰、受章
2003,,久留米市野球場内に、全日本軟式野球福岡県連盟事務局設置
2003,,中村敏治氏、６代福岡県連理事長就任
2003,,柴田春雄氏、九州連合会会長就任
2003,,柴田春雄氏、福岡県連会長就任
2003,,第２５回西日本軟式野球大会１部開催　　　　　　　北九州
2003,,久留米市野球連盟(久留米支部)(財)福岡県体育協会団体賞、受賞
2003,,山村兼五氏、(財)　福岡県体育協会功労者受賞
2003,,鳩　廣英氏、（財）福岡県体育協会功労者受賞
2003,,竹内秀雄氏、(財)　福岡県体育協会功労者受賞
2003,,栗本昭雄氏、(財)　福岡県体育協会功労者受賞
2003,,中村敏治氏、全日本軟式野球
2002,,品川重敏氏、（財）全日本軟式野球連盟功労賞受賞
2002,9,高円宮憲仁親王殿下決勝戦ご観戦
2002,9,『高円宮憲仁親王殿下歓迎の夕べ』挙行
2002,9,天皇賜杯第５７回全日本軟式野球大会開催
2002,,稗島　寛氏、（財）福岡県体育協会功労者受賞
2001,,品川重敏氏、(財)　福岡県体育協会功労者、受賞
1999,,松下嘉保氏(大牟田支部)(財)福岡県体育功労者、受賞
1999,,北九州市軟式野球連盟、(財)福岡県体育協会団体賞、受賞
1999,,第１回福岡県連会長杯開催　　　　　　　　　　　　久留米
1999,,永野直義氏、(財)福岡県体育協会功労者受賞
1999,,大隈君雄氏、（財）福岡県体育協会功労者受賞
1998,,川嶋　隆氏、（財）全日本軟式野球連盟功労賞受賞
1998,,高松宮賜杯第４２回全日本軟式野球大会２部、開催　久留米
1998,,中間市役所、(財)福岡県体育協会団体賞受賞
1998,,倉富彌介氏、(財)福岡県体育協会功労者受賞
1997,,中間市役所野球部　天皇賜杯第52回全日本軟式野球大会優勝　第52回国民体育大会軟式や旧競技一般一部優勝　第1回全日本軟式野球選手県大会優勝
1997,,堀川武雄氏、柴田春雄氏(財)福岡県体育協会創立５０周年記念表彰
1997,,江下　淳氏、（財）福岡県体育協会功労者受賞
1996,,全日本軟式野球福岡県連盟設立５０周年祝賀会挙行、シーホーク
1996,,島田博雄氏、会長就任
1996,,鈴木英雄氏、(財)福岡県体育協会功労者受賞
1995,,柴田春雄氏、（財）全日本軟式野球連盟功労賞受賞
1995,,川嶋　隆氏、（財）福岡県体育協会功労者受賞
1994,,柴田春雄氏、（財）福岡県体育協会功労者受賞
1993,,西村　勝氏、（田川市）（財）福岡県体育協会功労者受賞
1992,,福永　鈔副理事長（財）全日本軟式野球連盟審判技術副委員長就任
1990,,第４５回国民体育大会軟式野球競技、成年１、２部、壮年総合優勝
1990,,第４５回国民体育大会軟式野球競技開催
1989,,国体リハーサル、第１１回西日本軟式野球１部開催久留米
1989,,正木敬造氏、福岡県連盟会長就任
1988,,福永　鈔副理事長、（財）全日本軟式野球連盟審判技術員就任
1987,,河村　明氏、富安直助会長の後、会長に就任
1986,,柴田春雄氏、九州連合会理事長就任、全日本軟式野球常務理事就任
1981,,柴田春雄氏、５代福岡県連盟理事長就任
1980,,第２回西日本軟式野球大会２部開催、福岡
1974,,日隈又蔵氏、４代県連理事長就任
1970,,第１回福岡県学童大会開催、優勝西国分ウエストナイン優勝
1967,,第１回福岡県軟式野球選手権Ｂ、Ｃ級大会開催
1962,,第１回九州都市対抗野球大会（現九連会長杯）新設
1951,,的野勝巳氏、３代九州連合会理事長、福岡県連盟理事長就任
1949,,天皇賜杯第４回全日本軟式野球大会開催　　北九州
1949,,川原喜久夫氏勇退に伴い、井口新次郎氏就任
1948,,天皇賜杯第２回全日本軟式野球大会初参加
1948,,第３回国民体育大会を開催
1946,,第１回国民体育大会出場
1946,,全日本軟式野球連盟に全日本軟式野球福岡県連盟として加入　初代九州連合会会長、福岡県連会長兼理事長　川原喜久夫
