年度,チーム名,大会名,結果
2013,秋吉整形外科クラブ,第24回日本マスターズ軟式野球競技,3位
2011,北九州市選抜,全国団軟式野球交流大会,3位
2007,アクセスジャパン1,高松宮賜杯第51回軟式野球大会2部,優勝
2007,アクセスジャパン1,第29回西日本軟式野球大会,優勝
2007,若松中クラブ,第24回全日本少年軟式野球大会,優勝
2007,庄内ジャガーズ,高円宮賜杯全日本学童軟式野球大会,優勝
2006,山水荘ベースボールクラブ,第28回西日本軟式野球大会2部,優勝
2005,豊前東芝,第60回国体軟式野球大会一般B,準優勝
2005,福岡銀行,第27回西日本軟式野球大会2部,優勝
2004,サニクリーン九州,高松宮賜杯第49回軟式野球大会1部,優勝
2002,津福ジュニアースラッガーズ,第7回高野山旗西日本学童,優勝
1997,豊前東芝,第52回国体軟式野球大会一般B,3位
1997,佐川急便九州支社,高松宮賜杯第41回軟式野球大会1部,優勝
1996,小竹ガッツ,高円宮賜杯第16回全日本学童軟式野球,優勝
1996,リョーユーパン,第18回西日本軟式野球大会1部,準優勝
1996,佐川急便九州支社,第18回西日本軟式野球大会2部,優勝
1996,佐川急便九州支社,高松宮賜杯第40回軟式野球大会2部,優勝
1995,田川クラブ,第50回国体軟式野球大会壮年,3位
1994,直方東芝,第16回西日本軟式野球大会1部,優勝
1994,オーム川辺,第49回国体軟式野球大会一般2部,7位
1993,東芝北九州,第48回国体軟式野球大会一般1部,8位
1990,福岡県,第45回国体軟式野球,総合優勝
1990,福岡クラブ,第45回国体軟式野球大会壮年,5位
1990,岩田屋,第45回国体軟式野球大会一般1部,3位
1990,西日本銀行,第45回国体軟式野球大会一般2部,優勝
1990,秋吉整形,第12回西日本軟式野球大会1部,優勝
1989,中間市役所,第44回国体軟式野球大会一般2部,4位
1983,直方市役所,高松宮賜杯第27回軟式野球大会1部,優勝
1981,夜須クラブ,第36回国体軟式野球少年の部,2位
1981,福岡トヨペット,高松宮賜杯第25回軟式野球大会1部,準優勝
1970,菱成産業,高松宮賜杯第14回軟式野球大会1部,優勝
1969,PHクラブ,高松宮賜杯第13回軟式野球大会1部,3位
1968,洞海産業,第23回国体準硬式野球大会,優勝
1967,洞海産業,第22回国体準硬式野球大会,準優勝
1967,洞海産業,常陸宮賜杯第3回準硬式野球大会,優勝
1965,岡部機械工業,高松宮賜杯軟式野球大会2部,3位
1963,西部瓦斯小倉,第18回国体軟式野球大会,4位
1962,小野田セメント,天皇賜杯第17回大会,優勝
1962,洞海産業,第17回国体準硬式野球大会,準優勝
1962,西部瓦斯小倉,第17回国体,準優勝
